取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2025/12/30 18:33:22,"2,000",-,-,-,-,-,送った金額,村田雅弥,PayPay残高,-,-,02167432925636018186
2025/12/30 18:33:20,-,"3,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02167432908456304652
2025/12/30 17:29:17,"10,000",-,-,-,-,-,送った金額,村田雅弥,PayPay残高,-,-,02167399897335840770
2025/12/30 17:29:14,-,"10,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02167399871567855644
2025/12/30 17:10:29,"3,850",-,-,-,-,-,支払い,HAKADORU　渋谷店 - HAKADORU　渋谷店,PayPay残高,-,-,04878538495828787202
2025/12/30 17:10:29,-,38,-,-,-,-,ポイント、残高の獲得,HAKADORU　渋谷店,PayPayポイント,-,-,04878538495828787202
2025/12/30 17:10:24,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02167390164942086151
2025/12/30 10:52:43,140,-,-,-,-,-,支払い,ヤマト運輸 - 三軒茶屋営業所（受付）,"PayPayポイント (28円), PayPay残高 (112円)",-,-,04878343796371595269
2025/12/29 19:56:27,"3,850",-,-,-,-,-,支払い,HAKADORU　渋谷店 - HAKADORU　渋谷店,PayPay残高,-,-,04877881864049164292
2025/12/29 19:56:27,-,38,-,-,-,-,ポイント、残高の獲得,HAKADORU　渋谷店,PayPayポイント,-,-,04877881864049164292
2025/12/29 19:56:21,-,"5,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02166733524571766822
2025/12/29 14:49:38,-,6,-,-,-,-,ポイント、残高の獲得,マクドナルドモバイルオーダー,PayPayポイント,-,-,04877723654633578506
2025/12/29 14:49:30,770,-,-,-,-,-,支払い,マクドナルドモバイルオーダー,PayPay残高,-,-,04877723654633578506
2025/12/29 14:49:28,-,"3,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02166575358106091548
2025/12/29 09:46:06,180,-,-,-,-,-,支払い,ヤマト運輸 - 三軒茶屋営業所（受付）,"PayPayポイント (44円), PayPay残高 (136円)",-,-,04877567292053610499
2025/12/27 15:08:33,140,-,-,-,-,-,支払い,ヤマト運輸 - 三軒茶屋営業所（受付）,"PayPayポイント (9円), PayPay残高 (131円)",-,-,04876249140821008385
2025/12/26 13:14:41,40,-,-,-,-,-,支払い,ヤマト運輸 - 三軒茶屋営業所（受付）,"PayPayポイント (27円), PayPay残高 (13円)",-,-,04875448275449298949
2025/12/23 19:41:50,60,-,-,-,-,-,支払い,ヤマト運輸 - 三軒茶屋営業所（受付）,"PayPayポイント (17円), PayPay残高 (43円)",-,-,04873421299993944074
2025/12/23 02:17:22,627,-,-,-,-,-,支払い,セブン-イレブン - 世田谷上馬２丁目,PayPay残高,-,-,04872882985972875264
2025/12/23 02:17:21,-,6,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04872882985972875264
2025/12/22 17:30:08,120,-,-,-,-,-,支払い,ヤマト運輸 - 三軒茶屋営業所（受付）,PayPay残高,-,-,04872611251981778947
2025/12/22 17:29:47,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02161462800835698697
2025/12/22 12:36:58,-,8,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04872460155032313859
2025/12/22 12:36:58,875,-,-,-,-,-,支払い,セブン-イレブン - 世田谷上馬２丁目,"PayPayポイント (42円), PayPay残高 (833円)",-,-,04872460155032313859
2025/12/22 12:36:53,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02161311841325080583
2025/12/21 22:01:50,633,-,-,-,-,-,支払い,セブン-イレブン - 世田谷上馬２丁目,PayPay残高,-,-,04872009123336847360
2025/12/21 22:01:50,-,6,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04872009123336847360
2025/12/21 22:01:46,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02160860809629474823
2025/12/21 16:27:01,574,-,-,-,-,-,支払い,セブン-イレブン - 世田谷三軒茶屋２丁目,PayPay残高,-,-,04871836560140361730
2025/12/21 16:27:01,-,4,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04871836560140361730
2025/12/21 15:22:45,115,-,-,-,-,-,支払い,セリア - 2441西友三軒茶屋店,"PayPayポイント (5円), PayPay残高 (110円)",-,-,04871803437352845312
2025/12/21 01:11:36,930,-,-,-,-,-,支払い,セブン-イレブン - 世田谷上馬２丁目,PayPay残高,-,-,04871364757983379457
2025/12/21 01:11:36,-,8,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04871364757983379457
2025/12/21 01:11:30,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02160216427096154115
2025/12/20 20:37:37,-,6,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04871223539458621444
2025/12/20 20:37:37,648,-,-,-,-,-,支払い,セブン-イレブン - 世田谷三軒茶屋２丁目,PayPay残高,-,-,04871223539458621444
